prob	ratio
0.6303866778586823	0.36
0.6303866778586823	0.37
0.6303866778586823	0.38
0.6303866778586823	0.39
0.6303866778586823	0.4
0.6303866778586823	0.41
0.6303866778586823	0.42
0.6303866778586823	0.43
0.6303866778586823	0.44
0.6303866778586823	0.45
0.6303866778586823	0.46
0.6303866778586823	0.47
0.6303866778586823	0.48
0.6303866778586823	0.49
0.6303866778586823	0.5
0.6303866778586823	0.51
0.6303866778586823	0.52
0.6303866778586823	0.53
0.6303866778586823	0.54
0.6303866778586823	0.55
0.6303866778586823	0.56
0.6303866778586823	0.57
0.6303866778586823	0.58
0.6303866778586823	0.59
0.6303866778586823	0.6
0.6303866778586823	0.61
0.6303866778586823	0.62
0.6303866778586823	0.63
0.6303866778586823	0.64
0.6303866778586823	0.65
0.6303866778586823	0.66
0.6303866778586823	0.67
0.6303866778586823	0.68
0.6303866778586823	0.69
0.6307880241289825	0.7
0.6336224469751985	0.71
0.6506242515592386	0.72
0.6547502394287628	0.73
0.6562526442920299	0.74
0.6562526442920299	0.75
0.6562526442920299	0.76
0.6562526442920299	0.77
0.6562526442920299	0.78
0.6562526442920299	0.79
0.6562526442920299	0.8
0.6562526442920299	0.81
0.6562526442920299	0.82
0.6562526442920299	0.83
0.6562526442920299	0.84
0.6562526442920299	0.85
0.6562526442920299	0.86
0.6562526442920299	0.87
0.6562526442920299	0.88
0.6562526442920299	0.89
0.6562526442920299	0.9
0.6562526442920299	0.91
0.6562526442920299	0.92
0.6562526442920299	0.93
0.6562526442920299	0.94
0.6562526442920299	0.95
0.6562526442920299	0.96
0.6562526442920299	0.97
0.6562526442920299	0.98
0.6562526442920299	0.99
0.6562526442920299	1.0
0.6562526442920299	1.01
0.6562526442920299	1.02
0.6562526442920299	1.03
0.6562526442920299	1.04
0.6562526442920299	1.05
0.6562526442920299	1.06
0.6562526442920299	1.07
0.6562526442920299	1.08
0.6562526442920299	1.09
0.6558645937485537	1.1
0.6558645937485537	1.11
0.6463936163081854	1.12
0.6411537208531182	1.13
0.6374527570161438	1.14
0.6370424356399027	1.15
0.6366272447142564	1.16
0.6345050027380017	1.17
0.632335470460633	1.18
0.6319598151914021	1.19
0.6309597679604682	1.2
0.62603130412441	1.21
0.6168680044791771	1.22
0.6149282145412593	1.23
0.6080688022522197	1.24
0.6034922494775646	1.25
0.5994179017006612	1.26
0.5969467208028019	1.27
0.5969467208028019	1.28
0.5948758757638433	1.29
0.5921722405377008	1.3
0.5921722405377008	1.31
0.5921722405377008	1.32
0.5921722405377008	1.33
0.5921722405377008	1.34
0.5911936909714134	1.35
0.586448445698436	1.36
0.5829096661474913	1.37
0.5711142825285126	1.38
0.5665075156635607	1.39
0.5507561878644783	1.4
0.5436402534093063	1.41
0.5425537215844514	1.42
0.5425537215844514	1.43
0.5425537215844514	1.44
0.5425537215844514	1.45
0.5119232829652521	1.46
0.5105934046976299	1.47
0.5105934046976299	1.48
0.5105934046976299	1.49
0.509883003277911	1.5
0.5049396301493078	1.51
0.5049396301493078	1.52
0.48149996012644103	1.53
0.42495811489787116	1.54
0.4235827845042999	1.55
0.42285437191436415	1.56
0.42285437191436415	1.57
0.42285437191436415	1.58
0.42285437191436415	1.59
0.42285437191436415	1.6
0.4195812721891409	1.61
0.4195812721891409	1.62
0.4195812721891409	1.63
0.4195812721891409	1.64
0.4195812721891409	1.65
0.4195812721891409	1.66
0.4195812721891409	1.67
0.4195812721891409	1.68
0.4195812721891409	1.69
0.4195812721891409	1.7
0.4195812721891409	1.71
0.4195812721891409	1.72
0.4195812721891409	1.73
0.4195812721891409	1.74
0.4195812721891409	1.75
0.4195812721891409	1.76
0.4195812721891409	1.77
0.4195812721891409	1.78
0.4195812721891409	1.79
0.41887253023487203	1.8
0.41887253023487203	1.81
0.41887253023487203	1.82
0.41887253023487203	1.83
0.418205216750774	1.84
0.418205216750774	1.85
0.418205216750774	1.86
0.418205216750774	1.87
0.41332680674586586	1.88
0.41281381367077896	1.89
0.39729362096639576	1.9
0.3744417041031722	1.91
0.3537355082647956	1.92
0.35253512535833	1.93
0.35253512535833	1.94
0.35253512535833	1.95
0.35253512535833	1.96
0.35253512535833	1.97
0.3509459618689788	1.98
0.3501813536820911	1.99
0.3501813536820911	2.0
0.3501813536820911	2.01
0.34038859009302386	2.02
0.34038859009302386	2.03
0.33762875472139486	2.04
0.31893788282484714	2.05
0.3032358112938038	2.06
0.30252947687709214	2.07
0.3018040362369679	2.08
0.3018040362369679	2.09
0.3012889924875545	2.1
0.3006767111048162	2.11
0.2999438920365306	2.12
0.2999438920365306	2.13
0.2999438920365306	2.14
0.2999438920365306	2.15
0.2999438920365306	2.16
0.2999438920365306	2.17
0.2999438920365306	2.18
0.2999438920365306	2.19
0.2999438920365306	2.2
0.2999438920365306	2.21
0.2999438920365306	2.22
0.2999438920365306	2.23
0.2999438920365306	2.24
0.2999438920365306	2.25
0.2999438920365306	2.26
0.2999438920365306	2.27
0.2999438920365306	2.28
0.2999438920365306	2.29
0.2999438920365306	2.3
0.2999438920365306	2.31
0.2999438920365306	2.32
0.2999438920365306	2.33
0.2999438920365306	2.34
0.2999438920365306	2.35
0.2999438920365306	2.36
0.2999438920365306	2.37
0.2999438920365306	2.38
0.2999438920365306	2.39
0.2999438920365306	2.4
0.2999438920365306	2.41
0.2999438920365306	2.42
0.2999438920365306	2.43
0.2999438920365306	2.44
0.2999438920365306	2.45
0.2999438920365306	2.46
0.2999438920365306	2.47
0.2999438920365306	2.48
0.2999438920365306	2.49
0.2999438920365306	2.5
0.2999438920365306	2.51
0.2999438920365306	2.52
0.2999438920365306	2.53
0.2999438920365306	2.54
0.2999438920365306	2.55
0.2999438920365306	2.56
0.2999438920365306	2.57
0.2999438920365306	2.58
0.2999438920365306	2.59
0.2999438920365306	2.6
0.2999438920365306	2.61
0.2999438920365306	2.62
0.2999438920365306	2.63
0.29913136231560233	2.64
0.2929085873347117	2.65
0.2918459265444693	2.66
0.29100173285486663	2.67
0.29100173285486663	2.68
0.29100173285486663	2.69
0.29100173285486663	2.7
0.29100173285486663	2.71
0.28923266893386446	2.72
0.28923266893386446	2.73
0.28923266893386446	2.74
0.28923266893386446	2.75
0.28923266893386446	2.76
0.28923266893386446	2.77
0.28923266893386446	2.78
0.28923266893386446	2.79
0.28923266893386446	2.8
0.28923266893386446	2.81
0.28923266893386446	2.82
0.28923266893386446	2.83
0.28923266893386446	2.84
0.28923266893386446	2.85
0.28923266893386446	2.86
0.28923266893386446	2.87
0.28923266893386446	2.88
0.28923266893386446	2.89
0.28923266893386446	2.9
0.28923266893386446	2.91
0.28923266893386446	2.92
0.28923266893386446	2.93
0.28923266893386446	2.94
0.28923266893386446	2.95
0.28923266893386446	2.96
0.28923266893386446	2.97
0.28923266893386446	2.98
0.28923266893386446	2.99
0.28923266893386446	3.0
0.28923266893386446	3.01
0.28923266893386446	3.02
0.28923266893386446	3.03
0.28923266893386446	3.04
0.28923266893386446	3.05
0.28923266893386446	3.06
0.28923266893386446	3.07
